#================================================================
# User to locations mapping for the Corporate HQ System [jdesec]
#================================================================
SBG|Nashville
SCB|Rickard_Seed
SDG|Region
SES|Corporate
SFB|Franklin_Park
SFJ|Nashville
SGC|Clarksville
SHF|Corporate
SHZ|Franklin_Park
SIG|Region
SJK|Franklin_Park
SJV|Corporate
SKG|Franklin_Park
SLH|Region
SLL|Corporate
SMD|Corporate
SMH|Corporate
SNP|Franklin_Park
SPR|Franklin_Park
SPRSC2|Hopkinsville
SRWEB|Corporate
SSB|Corporate
SSK|Corporate
SSM|Corporate
SUP|Nashville
SVP|Corporate
SXG|Hopkinsville
SXR|Corporate
SXS|Corporate
SXT|Rickard_Seed
SYC|Corporate
SYM|Region
SZC|Hopkinsville
SZH|Region
TAG|Corporate
TAH|Corporate
TDL|Clarksville
TDT|Rickard_Seed
TDW|Nashville
TED|Corporate
TEF|Corporate
TFW|Franklin_Park
THB01|Corporate
TJM|Corporate
TLP|Hopkinsville
TLS|Region
TMH|Corporate
TMKTMP1|Corporate
TSC|Corporate
TSS|Nashville
TVM|Corporate
TWG|Corporate
TXS|Hopkinsville
TYM|Nashville
TZB|Hopkinsville
VAV|Corporate
VDE|Clarksville
VQQ|Rickard_Seed
VFR|Corporate
VXS|Corporate
WAD|Corporate
WAG|Franklin_Park
WAR|Corporate
WCK|Franklin_Park
WEC|Rickard_Seed
WEE|Corporate
WGB|Hopkinsville
WJT|Nashville
WMW|Rickard_Seed
WRP|Nashville
WSJ|Corporate
WXC|Hopkinsville
YXR|Corporate
AJD|Corporate
BYM|Nashville
CGE|Nashville
CXC|Hopkinsville
DXL|Corporate
ERB|Corporate
FGV|Nashville
JAG|Corporate
JBB01|Franklin_Park
JOD|Corporate
JQV|Hopkinsville
JXE|Nashville
KXK01|Corporate
MBU|Nashville
MRM|Nashville
PAK|Hopkinsville
RXF|Corporate
SOXCOP|Corporate
SXC01|Corporate
VMI|Corporate
BRF|Corporate
JAP01|Nashville

# Added during 4.30.2008.17.0.36 run
ACC01|No_Location
AJB|Nashville
APSCAN|No_Location
CDW01|Hopkinsville
CMD01|Corporate
CSO|Corporate
CXL|Corporate
DDEBIT|No_Location
DMP|No_Location
DRB|Corporate
ENTEVJD|No_Location
EXA01|Corporate
FGE|Franklin_Park
GPR01|Corporate
HZC01|Corporate
JHH|Corporate
JOA|Corporate
JPM02|Corporate
JQM01|Corporate
JVC01|Corporate
KAF|Region
LAH01|Nashville
LKL01|Nashville
LVT|Corporate
MXB01|Corporate
NB3PL|No_Location
NEM|No_Location
NXP|Corporate
OLW01|Nashville
POBTEST|No_Location
RXG02|Corporate
SFK|Nashville
SLSTFR|No_Location
SRWEBT|No_Location
TDB01|Nashville
VZH|Corporate
WAO01|Franklin_Park
WZH01|Corporate


# Added during 5.9.2008.15.39.29 run
MLC02|No_Location
POP|Corporate
